filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
9508467172.3fr,0674806498.jpg,CFV 100C/907X,Hasselblad XCD 90mm F2.5 V,64,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-5812312132/9508467172.3fr,dpreview Hasselblad 907X/CFV 100C sample gallery (L-5812312132)
3385027918.3fr,2643738031.jpg,CFV 100C/907X,Hasselblad XCD 90mm F2.5 V,12800,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-5812312132/3385027918.3fr,dpreview Hasselblad 907X/CFV 100C sample gallery (L-5812312132)
0534444049.3fr,5726258006.jpg,CFV 100C/907X,Hasselblad XCD 90mm F2.5 V,64,auto,daylight,,,,https://www.dpreview.com/wp-content/uploads/sample_galleries/L-5812312132/0534444049.3fr,dpreview Hasselblad 907X/CFV 100C sample gallery (L-5812312132)
