filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
4705267269.arw,5387127898.jpg,ILCE-7CR,FE 20-70mm F4 G,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 17:44:05, jpeg DateTimeOriginal=2023-08-13 17:44:05"
1533449748.arw,8386984648.jpg,ILCE-7CR,FE 20-70mm F4 G,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 18:04:53, jpeg DateTimeOriginal=2023-08-13 18:04:53"
2893183002.arw,3004626443.jpg,ILCE-7CR,FE 20-70mm F4 G,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 18:09:24, jpeg DateTimeOriginal=2023-08-13 18:09:24"
4527694672.arw,7708243281.jpg,ILCE-7CR,FE 20-70mm F4 G,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 18:22:44, jpeg DateTimeOriginal=2023-08-13 18:22:44"
3711227383.arw,6851458581.jpg,ILCE-7CR,FE 20-70mm F4 G,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:15:58, jpeg DateTimeOriginal=2023-08-13 19:15:58"
7064030359.arw,5438730087.jpg,ILCE-7CR,FE 20-70mm F4 G,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:18:26, jpeg DateTimeOriginal=2023-08-13 19:18:26"
7539324496.arw,9825263374.jpg,ILCE-7CR,FE 20-70mm F4 G,2500,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:39:47, jpeg DateTimeOriginal=2023-08-13 19:39:47"
9098189581.arw,7413630969.jpg,ILCE-7CR,FE 20-70mm F4 G,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:41:15, jpeg DateTimeOriginal=2023-08-13 19:41:15"
4640101356.arw,0926059147.jpg,ILCE-7CR,FE 20-70mm F4 G,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:49:09, jpeg DateTimeOriginal=2023-08-13 19:49:09"
1991465770.arw,6487383156.jpg,ILCE-7CR,FE 20-70mm F4 G,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:53:27, jpeg DateTimeOriginal=2023-08-13 19:53:27"
6759696627.arw,5341754382.jpg,ILCE-7CR,FE 20-70mm F4 G,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:53:47, jpeg DateTimeOriginal=2023-08-13 19:53:47"
7353676466.arw,4978473459.jpg,ILCE-7CR,FE 20-70mm F4 G,2000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:54:35, jpeg DateTimeOriginal=2023-08-13 19:54:35"
6367866723.arw,4591222918.jpg,ILCE-7CR,FE 20-70mm F4 G,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 19:58:23, jpeg DateTimeOriginal=2023-08-13 19:58:23"
4918425066.arw,2619031910.jpg,ILCE-7CR,FE 20-70mm F4 G,12800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-08-13 20:04:27, jpeg DateTimeOriginal=2023-08-13 20:04:27"
