filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
0908944042.3fr,7599721882.jpg,CFV 100C/907X,XCD 90V,1600,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-27 14:59:56, raw/jpeg sync delta=0.0s"
1917191504.3fr,6435002149.jpg,CFV 100C/907X,XCD 90V,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-27 15:03:52, raw/jpeg sync delta=0.0s"
9011626130.3fr,3213753437.jpg,CFV 100C/907X,XCD 90V,6400,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-27 15:12:47, raw/jpeg sync delta=0.0s"
5310704161.3fr,5762692193.jpg,CFV 100C/907X,XCD 90V,6400,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-27 15:13:10, raw/jpeg sync delta=0.0s"
3683076943.3fr,6688512428.jpg,CFV 100C/907X,XCD 90V,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-28 13:07:17, raw/jpeg sync delta=0.0s"
7406451876.3fr,0674806498.jpg,CFV 100C/907X,XCD 90V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-28 13:29:59, raw/jpeg sync delta=0.0s"
6519755969.3fr,7743476036.jpg,CFV 100C/907X,XCD 90V,200,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-28 13:44:17, raw/jpeg sync delta=0.0s"
3333340029.3fr,6877279048.jpg,CFV 100C/907X,XCD 90V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-28 13:58:32, raw/jpeg sync delta=0.0s"
9479682988.3fr,0094614018.jpg,CFV 100C/907X,XCD 90V,800,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-30 07:48:55, raw/jpeg sync delta=0.0s"
5385314660.3fr,8802335348.jpg,CFV 100C/907X,XCD 90V,6400,auto,lowlight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-30 18:39:03, raw/jpeg sync delta=0.0s"
9247740424.3fr,1209888399.jpg,CFV 100C/907X,XCD 90V,64,auto,daylight,,,,"local (owner personal library, downloaded 2026-07-31)","exif DateTimeOriginal=2024-01-31 18:01:28, raw/jpeg sync delta=0.0s"
