filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
0732058903.cr3,6727697460.jpg,Canon EOS R1,RF15-35mm F2.8 L IS USM,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 13:30:53, jpeg DateTimeOriginal=2024-06-27 13:30:53"
5379257650.cr3,3183870785.jpg,Canon EOS R1,RF15-35mm F2.8 L IS USM,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 13:32:23, jpeg DateTimeOriginal=2024-06-27 13:32:23"
5114089354.cr3,1083261385.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,1000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 13:46:49, jpeg DateTimeOriginal=2024-06-27 13:46:49"
0037783681.cr3,8041488071.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,640,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 13:47:05, jpeg DateTimeOriginal=2024-06-27 13:47:05"
6046895204.cr3,0953680615.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 13:48:02, jpeg DateTimeOriginal=2024-06-27 13:48:02"
2994113468.cr3,3452179323.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,20000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:04:35, jpeg DateTimeOriginal=2024-06-27 22:04:35"
8642881685.cr3,4169306284.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,16000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:09:41, jpeg DateTimeOriginal=2024-06-27 22:09:41"
7394210784.cr3,9330496529.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,65535,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:24:26, jpeg DateTimeOriginal=2024-06-27 22:24:26"
6872203326.cr3,5847832804.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,65535,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:40:54, jpeg DateTimeOriginal=2024-06-27 22:40:54"
3292367715.cr3,5129627818.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,51200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:41:17, jpeg DateTimeOriginal=2024-06-27 22:41:17"
8693816036.cr3,8710147801.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,64000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 22:45:03, jpeg DateTimeOriginal=2024-06-27 22:45:03"
1828108015.cr3,9284134798.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,640,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 23:05:20, jpeg DateTimeOriginal=2024-06-27 23:05:20"
2406095049.cr3,1547968087.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 23:10:35, jpeg DateTimeOriginal=2024-06-27 23:10:35"
0098453725.cr3,6146289804.jpg,Canon EOS R1,RF24-70mm F2.8 L IS USM,20000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2024-06-27 23:13:18, jpeg DateTimeOriginal=2024-06-27 23:13:18"
