filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
2588455762.dng,9701073750.jpg,LEICA M10,Summicron-M 1:2/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-11 19:50:08, jpeg DateTimeOriginal=2017-01-11 19:50:08"
3514184772.dng,4203576581.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-12 02:32:49, jpeg DateTimeOriginal=2017-01-12 02:32:49"
6103962081.dng,7441724988.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-14 01:58:18, jpeg DateTimeOriginal=2017-01-14 01:58:18"
4193933433.dng,0592605859.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-14 23:36:38, jpeg DateTimeOriginal=2017-01-14 23:36:38"
1294287973.dng,5043794298.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-14 23:38:57, jpeg DateTimeOriginal=2017-01-14 23:38:57"
2742231800.dng,2183434449.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-15 00:16:37, jpeg DateTimeOriginal=2017-01-15 00:16:37"
5337587135.dng,8533676174.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-15 00:43:24, jpeg DateTimeOriginal=2017-01-15 00:43:24"
2539898148.dng,5032410444.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,160,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-15 00:43:56, jpeg DateTimeOriginal=2017-01-15 00:43:56"
3757065885.dng,8145098204.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-15 00:50:53, jpeg DateTimeOriginal=2017-01-15 00:50:53"
2659166363.dng,8948221040.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-15 01:03:14, jpeg DateTimeOriginal=2017-01-15 01:03:14"
7187182927.dng,7148858235.jpg,LEICA CL,ELMARIT-TL 1:2.8/18 ASPH.,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-01-16 02:29:13, jpeg DateTimeOriginal=2017-01-16 02:29:13"
9070232700.dng,8902104413.jpg,LEICA M10,Elmarit-M 1:2.8/28 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-25 00:18:33, jpeg DateTimeOriginal=2017-02-25 00:18:33"
7639233415.dng,2092262456.jpg,LEICA M10,Elmarit-M 1:2.8/28 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-25 00:34:20, jpeg DateTimeOriginal=2017-02-25 00:34:20"
4457363760.dng,3857684493.jpg,LEICA M10,Elmarit-M 1:2.8/28 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-25 02:40:17, jpeg DateTimeOriginal=2017-02-25 02:40:17"
7589399142.dng,7216019420.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-25 03:16:11, jpeg DateTimeOriginal=2017-02-25 03:16:11"
3749147961.dng,2746029730.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-25 03:20:52, jpeg DateTimeOriginal=2017-02-25 03:20:52"
5268052893.dng,1482813237.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-27 00:13:43, jpeg DateTimeOriginal=2017-02-27 00:13:43"
8404418976.dng,1604342068.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,1600,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-27 07:08:32, jpeg DateTimeOriginal=2017-02-27 07:08:32"
3998192334.dng,6758562222.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-27 07:12:28, jpeg DateTimeOriginal=2017-02-27 07:12:28"
4138999994.dng,0123313199.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-27 22:11:41, jpeg DateTimeOriginal=2017-02-27 22:11:41"
7670395518.dng,0476216043.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,10000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-28 07:46:47, jpeg DateTimeOriginal=2017-02-28 07:46:47"
0239703535.dng,7637347077.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-28 08:23:33, jpeg DateTimeOriginal=2017-02-28 08:23:33"
4381593954.dng,6313835708.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-28 12:01:00, jpeg DateTimeOriginal=2017-02-28 12:01:00, 주의: 동률 후보 있음(다른 raw/jpeg도 같은 비용으로 매칭 가능했음 - 전역 최적 배정이 임의로 하나를 골랐으니 수동 확인 권장)"
3316919471.dng,2540386810.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,16000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-02-28 12:49:14, jpeg DateTimeOriginal=2017-02-28 12:49:14"
7633840190.dng,3770861879.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,800,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-01 06:15:16, jpeg DateTimeOriginal=2017-03-01 06:15:16"
5663405721.dng,1603058824.jpg,LEICA M10,Summicron-M 1:2/35,1250,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-01 10:26:33, jpeg DateTimeOriginal=2017-03-01 10:26:33"
1963057148.dng,5385347453.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,200,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-02 00:56:29, jpeg DateTimeOriginal=2017-03-02 00:56:29"
4224266920.dng,8860349998.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-02 01:20:56, jpeg DateTimeOriginal=2017-03-02 01:20:56"
6070380733.dng,2063964254.jpg,LEICA M10,Summilux-M 1:1.4/35 ASPH.,400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2017-03-02 06:43:24, jpeg DateTimeOriginal=2017-03-02 06:43:24"
